Count,Strip,Lot ID,MONTH,DAY,Date(측정 일자 및 시간),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Variation,Group,Average
51,S0108,L820027537558,11,1,2021-11-01,1.14016,1.14063,1.14029,1.13877,1.12594,1.12375,1.12561,1.12449,1.11861,1.1171,1.09805,1.13865,1.13878,1.11517,1.1452,1.14436,1.15045,1.10357,1.11451,1.11203,1.12309,1.11856,1.14959,1.14687,1.14445,1.13881,1.13752,0,0,0,0.05126,B,1.129
52,S0208,L820027537558,11,1,2021-11-01,1.14426,1.14521,1.14304,1.1423,1.128,1.1292,1.13051,1.12994,1.12348,1.11852,1.10386,1.14326,1.14388,1.11546,1.14793,1.14591,1.15286,1.11043,1.13974,1.14133,1.14742,1.15013,1.15004,1.15062,1.1494,1.14186,1.13743,0,0,0,0.0513,B,1.131
53,S1004,L820027537558,11,1,2021-11-01,1.14138,1.14063,1.13815,1.13817,1.13602,1.12955,1.13155,1.13776,1.11609,1.11495,1.11554,1.1437,1.13908,1.14256,1.14502,1.14748,1.13051,1.12762,1.1091,1.10893,1.09752,1.09647,1.12514,1.13732,1.143,1.1448,1.14665,0,0,0,0.05176,B,1.138
54,S0804,L820027537558,11,1,2021-11-01,1.14059,1.13955,1.13972,1.13949,1.12836,1.12865,1.13023,1.13751,1.10975,1.11858,1.12526,1.13935,1.14419,1.14509,1.14393,1.14551,1.12308,1.11741,1.1429,1.14411,1.14931,1.14928,1.14054,1.11251,1.11416,1.10629,1.10588,0,0,0,0.05182,B,1.138
55,S0801,L820027537558,11,1,2021-11-01,1.12811,1.13044,1.12894,1.13001,1.1347,1.13339,1.1371,1.14013,1.1111,1.13979,1.1452,1.12907,1.14192,1.14204,1.10758,1.13056,1.12681,1.12603,1.09636,1.10512,1.10206,1.09449,1.12988,1.13865,1.14352,1.14648,1.14679,0,0,0,0.0523,B,1.128
56,S0201,L820027537558,11,1,2021-11-01,1.12787,1.1302,1.12801,1.13073,1.13766,1.13798,1.13888,1.14294,1.11313,1.14363,1.14718,1.12094,1.14105,1.14391,1.09738,1.12583,1.12733,1.11273,1.13901,1.141,1.14646,1.14699,1.14118,1.11281,1.10987,1.10681,1.10647,0,0,0,0.05342,B,1.129
57,S0708,L820027537558,11,1,2021-11-01,1.13972,1.13997,1.13943,1.13747,1.12275,1.12755,1.12502,1.12604,1.12402,1.11936,1.09308,1.13928,1.13755,1.11559,1.14413,1.14552,1.13208,1.1292,1.10924,1.11212,1.1062,1.10298,1.12796,1.13896,1.14375,1.14889,1.1488,0,0,0,0.05507,B,1.127
58,S0101,L820027537558,11,1,2021-11-01,1.12262,1.12817,1.12683,1.12684,1.13446,1.1356,1.13403,1.14058,1.11598,1.14119,1.14488,1.11621,1.14122,1.14241,1.09154,1.1206,1.12905,1.11465,1.1367,1.14135,1.14602,1.14897,1.14309,1.11368,1.10831,1.10028,1.1,0,0,0,0.05511,B,1.127
59,S0302,L820027537558,11,1,2021-11-01,1.12575,1.1264,1.12496,1.12828,1.12386,1.12527,1.12217,1.12684,1.09138,1.11259,1.11942,1.11514,1.1387,1.14108,1.1157,1.14078,1.1276,1.13068,1.11772,1.12426,1.11539,1.11095,1.12619,1.13916,1.14478,1.14892,1.14932,0,0,0,0.05544,B,1.123
60,S0602,L820027537558,11,1,2021-11-01,1.13185,1.13081,1.13264,1.13309,1.1235,1.12629,1.12519,1.1336,1.09496,1.11791,1.11356,1.12065,1.13867,1.14893,1.12379,1.14557,1.12476,1.12505,1.13802,1.14175,1.14827,1.15101,1.14298,1.1148,1.11497,1.10904,1.10956,0,0,0,0.05599,B,1.127
61,S1007,L820027537558,11,1,2021-11-01,1.12829,1.12792,1.12794,1.13086,1.13173,1.13173,1.13243,1.13072,1.14605,1.1398,1.12011,1.14087,1.13509,1.11314,1.11163,1.11357,1.06921,1.14616,1.14972,1.14844,1.1465,1.14084,1.09323,1.08647,1.09631,1.09575,1.10187,0,0,0,0.05651,B,1.125
62,S0404,L820027537558,11,1,2021-11-01,1.14219,1.14021,1.13869,1.1419,1.12978,1.12541,1.12958,1.13626,1.10593,1.11493,1.11995,1.14577,1.1464,1.14266,1.14423,1.14633,1.11434,1.14367,1.1464,1.14568,1.14277,1.13799,1.10963,1.13867,1.14632,1.14843,1.14855,0,0,0,0.05655,B,1.137
63,S0701,L820027537558,11,1,2021-11-01,1.12407,1.12623,1.12631,1.12623,1.13363,1.13543,1.13572,1.14144,1.10735,1.14088,1.14373,1.12268,1.14382,1.14151,1.0919,1.12229,1.11157,1.12108,1.09305,1.0982,1.09275,1.08572,1.10973,1.13584,1.14199,1.1453,1.1459,0,0,0,0.05669,B,1.126
64,S1001,L820027537558,11,1,2021-11-01,1.1252,1.12342,1.12211,1.12153,1.13269,1.13212,1.13321,1.13869,1.1117,1.13671,1.14258,1.12227,1.13304,1.13684,1.09182,1.11317,1.10234,1.14458,1.14973,1.14889,1.14551,1.14003,1.09947,1.13953,1.14388,1.14701,1.14779,0,0,0,0.05676,B,1.123
65,S0102,L820027537558,11,1,2021-11-01,1.13124,1.13258,1.13122,1.13254,1.12933,1.13034,1.12826,1.13465,1.0926,1.12007,1.11874,1.12125,1.14568,1.14462,1.12074,1.14793,1.15036,1.10456,1.13721,1.14097,1.1478,1.14803,1.1476,1.14464,1.14299,1.13779,1.13807,0,0,0,0.05795,B,1.128
66,S0504,L820027537558,11,1,2021-11-01,1.13639,1.13703,1.13707,1.13523,1.12907,1.12454,1.12709,1.13291,1.10375,1.10825,1.11406,1.13794,1.13995,1.14085,1.14111,1.14333,1.10352,1.14749,1.1525,1.14945,1.14729,1.14084,1.11469,1.10593,1.10608,1.10921,1.11451,0,0,0,0.05916,B,1.134
67,S0707,L820027537558,11,1,2021-11-01,1.13017,1.13097,1.13147,1.13075,1.12805,1.12738,1.12968,1.1307,1.14921,1.14098,1.12241,1.14264,1.13761,1.11675,1.11324,1.11335,1.13283,1.14877,1.15135,1.15034,1.14787,1.14256,1.12931,1.1407,1.1502,1.15104,1.15005,0,0,0,0.06007,C,1.126
68,S0401,L820027537558,11,1,2021-11-01,1.1246,1.12374,1.12579,1.12543,1.13549,1.13484,1.13557,1.14285,1.10821,1.14261,1.14286,1.11771,1.14184,1.14205,1.08675,1.11581,1.12989,1.12727,1.10508,1.10457,1.1027,1.09951,1.13009,1.14096,1.14537,1.14807,1.1508,0,0,0,0.06195,C,1.124
69,S0802,L820027537558,11,1,2021-11-01,1.12861,1.13082,1.13161,1.13142,1.12405,1.12544,1.12626,1.12906,1.08957,1.12094,1.115,1.11532,1.14025,1.15033,1.11915,1.14261,1.12144,1.14829,1.15149,1.15147,1.15011,1.14372,1.11667,1.13991,1.14301,1.14863,1.15078,0,0,0,0.06319,C,1.125
70,S0702,L820027537558,11,1,2021-11-01,1.13137,1.13221,1.13257,1.13419,1.12401,1.1271,1.12689,1.13408,1.08695,1.11283,1.11485,1.1202,1.13555,1.14553,1.11517,1.14206,1.15353,1.12315,1.14034,1.1451,1.15009,1.151,1.15265,1.14919,1.14714,1.13907,1.14006,0,0,0,0.06343,C,1.124
71,S1002,L820027537558,11,1,2021-11-01,1.13216,1.132,1.13053,1.12769,1.1279,1.12882,1.12952,1.13221,1.08639,1.11292,1.11672,1.12084,1.13819,1.15101,1.12189,1.14526,1.15052,1.11374,1.13923,1.14507,1.15095,1.15034,1.14753,1.14627,1.14721,1.14085,1.13842,0,0,0,0.06462,C,1.126
72,S0202,L820027537558,11,1,2021-11-01,1.13526,1.13811,1.13502,1.13594,1.12833,1.12645,1.12745,1.13298,1.08755,1.11416,1.11904,1.12069,1.1386,1.1518,1.12041,1.14668,1.15038,1.08927,1.09678,1.0973,1.09298,1.09575,1.14789,1.1458,1.14802,1.14211,1.13939,0,0,0,0.06771,C,1.127
73,S0408,L820027537558,11,1,2021-11-01,1.1401,1.13933,1.13883,1.1381,1.12196,1.12345,1.1233,1.1205,1.11754,1.11209,1.07936,1.14225,1.14392,1.09183,1.14612,1.14314,1.15282,1.10274,1.14174,1.1448,1.1508,1.14886,1.15007,1.1502,1.15139,1.14487,1.13788,0,0,0,0.06797,NG2,1.122
74,S0501,L820027537558,11,1,2021-11-01,1.12275,1.12058,1.12123,1.12187,1.13184,1.13101,1.13204,1.1389,1.09902,1.13814,1.14196,1.1222,1.13692,1.13986,1.07633,1.10624,1.1214,1.1127,1.13979,1.14218,1.14619,1.14815,1.13978,1.1075,1.10208,1.1002,1.09575,0,0,0,0.06957,NG2,1.121
75,S0402,L820027537558,11,1,2021-11-01,1.1319,1.13207,1.13197,1.1342,1.12514,1.12244,1.125,1.13062,1.08015,1.10519,1.10825,1.11375,1.14263,1.1422,1.11659,1.14332,1.08914,1.14726,1.14647,1.14758,1.1415,1.13822,1.10739,1.0977,1.10262,1.10683,1.09995,0,0,0,0.06979,NG2,1.122
76,S0508,L820027537558,11,1,2021-11-01,1.13958,1.13852,1.13907,1.13733,1.12051,1.1196,1.1213,1.1217,1.11232,1.10539,1.07609,1.13605,1.13476,1.09668,1.14365,1.14178,1.12877,1.14683,1.14791,1.14802,1.14361,1.13821,1.12462,1.13961,1.14576,1.14942,1.1487,0,0,0,0.07211,NG2,1.121
77,S0502,L820027537558,11,1,2021-11-01,1.1281,1.12905,1.12831,1.12938,1.12321,1.12186,1.12291,1.12703,1.0741,1.10409,1.10711,1.11225,1.13528,1.14528,1.1116,1.14141,1.12514,1.12549,1.09077,1.09742,1.1,1.0969,1.12362,1.13634,1.14133,1.14746,1.14555,0,0,0,0.07377,NG2,1.12
